gene_standard,gene_systematic,rel_doubling_times_SC,rel_doubling_times_YPD,mean_SC,mean_YPD,ratio_to_WT_SC,ratio_to_WT_YPD
AAC1,YMR056C,,,118.313,92.3,0.97,1.003
AAC3,YBR085W,,,126.43,92.465,1.037,1.005
AAD3,YCR107W,,,117.657,91.015,0.965,0.989
AAD4,YDL243C,,,135.323,92.265,1.11,1.003
AAD6,YFL056C,,,137.553,91.375,1.128,0.993
AAH1,YNL141W,,,138.423,90.905,1.135,0.988
AAP1,YHR047C,,,134.857,92.615,1.106,1.007
AAT1,YKL106W,,,124.797,91.23,1.023,0.992
AAT2,YLR027C,,,190.477,92.335,1.562,1.004
ABF2,YMR072W,,,109.73,95.575,0.9,1.039
ABM1,YJR108W,,,144.67,92.125,1.186,1.001
ABP1,YCR088W,,,149.48,93.565,1.226,1.017
ABP140,YOR239W,,,113.047,91.095,0.927,0.99
ABZ1,YNR033W,,,119.143,92.04,0.977,1
ABZ2,YMR289W,,,133.003,NA,1.091,NA
ACA1,YER045C,,,136.95,91.895,1.123,0.999
ACB1,YGR037C,,,126.58,91.425,1.038,0.994
ACE2,YLR131C,,,102.947,90.98,0.844,0.989
ACF2,YLR144C,,,114.78,92.52,0.941,1.006
ACF4,YJR083C,,,136.307,90.09,1.118,0.979
ACH1,YBL015W,,,148.06,90.35,1.214,0.982
ACK1,YDL203C,,,147.1,NA,1.206,NA
ACL4,YDR161W,,,146.777,NA,1.204,NA
ACM1,YPL267W,,,119.273,93.87,0.978,1.02
ACN9,YDR511W,,,NA,92.71,NA,1.008
ACO1,YLR304C,,,NA,93.305,NA,1.014
ACO2,YJL200C,,,126.517,89.255,1.037,0.97
ACS1,YAL054C,,,127.133,92.045,1.043,1
ADA2,YDR448W,,,202.123,NA,1.657,NA
ADD37,YMR184W,,,118.443,89.835,0.971,0.976
ADD66,YKL206C,,,122.3,89.795,1.003,0.976
ADE1,YAR015W,,,201.01,86.08,1.648,0.936
ADE12,YNL220W,,,NA,88.115,NA,0.958
ADE16,YLR028C,,,117.2,91.885,0.961,0.999
ADE17,YMR120C,,,127.44,94.455,1.045,1.027
ADE2,YOR128C,,,128.837,84.385,1.056,0.917
ADE3,YGR204W,,,147.07,83.68,1.206,0.909
ADE4,YMR300C,,,149.01,85.73,1.222,0.932
"ADE5,7",YGL234W,,,224.977,86.145,1.845,0.936
ADE6,YGR061C,,,113.02,88.42,0.927,0.961
ADE8,YDR408C,,,185.35,83.66,1.52,0.909
ADH1,YOL086C,,,119.577,207.66,0.981,2.257
ADH2,YMR303C,,,128.473,93.155,1.053,1.012
ADH3,YMR083W,,,124.75,92.065,1.023,1.001
ADH4,YGL256W,,,130.63,89.91,1.071,0.977
ADH5,YBR145W,,,169.987,91.29,1.394,0.992
ADH6,YMR318C,,,127.93,91.455,1.049,0.994
ADH7,YCR105W,,,139.523,91.28,1.144,0.992
ADI1,YMR009W,,,111.657,90.895,0.916,0.988
ADK1,YDR226W,,,152.277,119.385,1.249,1.298
ADK2,YER170W,,,135.93,91.685,1.115,0.996
ADO1,YJR105W,,,209.327,99.29,1.716,1.079
ADP1,YCR011C,,,129.54,92.34,1.062,1.004
ADR1,YDR216W,,,150.1,91.8,1.231,0.998
ADY2,YCR010C,,,133.047,91.2,1.091,0.991
ADY3,YDL239C,,,140.49,90.68,1.152,0.986
ADY4,YLR227C,,,117.477,92.43,0.963,1.005
AEP1,YMR064W,,,NA,93.68,NA,1.018
AEP2,YMR282C,,,130.523,93.9,1.07,1.021
AEP3,YPL005W,,,166.553,93.38,1.366,1.015
AFB1,YLR040C,,,127.3,NA,1.044,NA
AFG1,YEL052W,,,132.337,91.2,1.085,0.991
AFG3,YER017C,,,188.333,116.905,1.544,1.271
AFI1,YOR129C,,,125.913,NA,1.032,NA
AFR1,YDR085C,,,147.8,94.5,1.212,1.027
AFT1,YGL071W,,,130.707,90.99,1.072,0.989
AFT2,YPL202C,,,112.07,91.81,0.919,0.998
AGA1,YNR044W,,,128.283,91.89,1.052,0.999
AGA2,YGL032C,,,167.157,90.43,1.371,0.983
AGC1,YPR021C,,,116.61,92.25,0.956,1.003
AGE1,YDR524C,,,135.55,98.845,1.112,1.074
AGE2,YIL044C,,,141.877,91.305,1.163,0.992
AGP1,YCL025C,,,136.887,93.655,1.122,1.018
AGP2,YBR132C,,,NA,91.85,NA,0.998
AGP3,YFL055W,,,132.467,91.7,1.086,0.997
AGX1,YFL030W,,,142.633,91.24,1.17,0.992
AHA1,YDR214W,,,139.357,91.515,1.143,0.995
AHC1,YOR023C,,,126.51,90.305,1.037,0.981
AHC2,YCR082W,,,130.447,93.125,1.07,1.012
AHK1,YDL073W,,,118.62,NA,0.973,NA
AHP1,YLR109W,,,114.477,90.99,0.939,0.989
AHT1,YHR093W,,,132.65,NA,1.088,NA
AIF1,YNR074C,,,128.947,91.365,1.057,0.993
AIM10,YER087W,,,184.867,NA,1.516,NA
AIM11,YER093C-A,,,130.107,NA,1.067,NA
AIM14,YGL160W,,,129.307,NA,1.06,NA
AIM17,YHL021C,,,148.627,NA,1.219,NA
AIM18,YHR198C,,,138.45,NA,1.135,NA
AIM19,YIL087C,,,132.567,NA,1.087,NA
AIM2,YAL049C,,,160.777,NA,1.318,NA
AIM20,YIL158W,,,120.32,NA,0.987,NA
AIM21,YIR003W,,,134.68,NA,1.104,NA
AIM22,YJL046W,,,134.127,NA,1.1,NA
AIM23,YJL131C,,,124.64,NA,1.022,NA
AIM24,YJR080C,,,130.713,NA,1.072,NA
AIM25,YJR100C,,,120.707,NA,0.99,NA
AIM26,YKL037W,,,146.917,NA,1.205,NA
AIM29,YKR074W,,,136.147,NA,1.116,NA
AIM3,YBR108W,,,139.153,NA,1.141,NA
AIM32,YML050W,,,129.29,NA,1.06,NA
AIM34,YMR003W,,,102.277,NA,0.839,NA
AIM36,YMR157C,,,125.28,NA,1.027,NA
AIM39,YOL053W,,,126.357,NA,1.036,NA
AIM4,YBR194W,,,173.523,NA,1.423,NA
AIM41,YOR215C,,,112.163,NA,0.92,NA
AIM44,YPL158C,,,118.867,NA,0.975,NA
AIM45,YPR004C,,,119.817,NA,0.983,NA
AIM46,YHR199C,,,139.067,NA,1.14,NA
AIM6,YDL237W,,,137.8,NA,1.13,NA
AIM7,YDR063W,,,147.36,NA,1.208,NA
AIM9,YER080W,,,131.97,NA,1.082,NA
AIP1,YMR092C,,,121.083,93.765,0.993,1.019
AIR1,YIL079C,,,136.547,87.895,1.12,0.955
AIR2,YDL175C,,,141.867,92.955,1.163,1.01
AKL1,YBR059C,,,179.217,91.81,1.47,0.998
AKR1,YDR264C,,,365.42,109.94,2.996,1.195
AKR2,YOR034C,,,127.637,91.66,1.047,0.996
ALB1,YJL122W,,,144.48,90.235,1.185,0.981
ALD2,YMR170C,,,127.333,90.325,1.044,0.982
ALD3,YMR169C,,,NA,91.36,NA,0.993
ALD4,YOR374W,,,114.923,89.62,0.942,0.974
ALD5,YER073W,,,133.853,91.695,1.098,0.997
ALD6,YPL061W,,,118.553,94.005,0.972,1.022
ALE1,YOR175C,,,130.473,NA,1.07,NA
ALF1,YNL148C,,,122.08,97.815,1.001,1.063
ALG12,YNR030W,,,125.257,93.965,1.027,1.021
ALG3,YBL082C,,,154.983,94.285,1.271,1.025
ALG5,YPL227C,,,109.177,95.225,0.895,1.035
ALG6,YOR002W,,,128.463,93.185,1.053,1.013
ALG8,YOR067C,,,131.027,93.315,1.074,1.014
ALG9,YNL219C,,,161.883,91.935,1.327,0.999
ALK1,YGL021W,,,132.02,91.75,1.083,0.997
ALK2,YBL009W,,,151.037,91.455,1.239,0.994
ALO1,YML086C,,,NA,93.175,NA,1.013
ALP1,YNL270C,,,113.453,90.095,0.93,0.979
ALR2,YFL050C,,,136.243,89.245,1.117,0.97
