gene_standard,gene_systematic,doubling_times,mean,median,sd,min,max,ratio_to_WT
AAC1,YMR056C,,118.313,116.92,3.159,116.09,121.93,0.97
AAC3,YBR085W,,126.43,126.12,2.241,124.36,128.81,1.037
AAD3,YCR107W,,117.657,118.31,1.725,115.7,118.96,0.965
AAD4,YDL243C,,135.323,134.7,1.99,133.72,137.55,1.11
AAD6,YFL056C,,137.553,138.66,3.929,133.19,140.81,1.128
AAH1,YNL141W,,138.423,138.39,5.66,132.78,144.1,1.135
AAP1,YHR047C,,134.857,132.87,4.354,131.85,139.85,1.106
AAT1,YKL106W,,124.797,122.43,5.367,121.02,130.94,1.023
AAT2,YLR027C,,190.477,184.95,14.512,179.54,206.94,1.562
ABF2,YMR072W,,109.73,110.38,2.792,106.67,112.14,0.9
ABM1,YJR108W,,144.67,146.58,9.156,134.71,152.72,1.186
ABP1,YCR088W,,149.48,146.81,5.65,145.66,155.97,1.226
ABP140,YOR239W,,113.047,112.91,1.131,111.99,114.24,0.927
ABZ1,YNR033W,,119.143,121.38,3.909,114.63,121.42,0.977
ABZ2,YMR289W,,133.003,131.47,3.363,130.68,136.86,1.091
ACA1,YER045C,,136.95,137.31,1.817,134.98,138.56,1.123
ACB1,YGR037C,,126.58,128.94,5.235,120.58,130.22,1.038
ACE2,YLR131C,,102.947,102.84,3.491,99.51,106.49,0.844
ACF2,YLR144C,,114.78,115.01,0.888,113.8,115.53,0.941
ACF4,YJR083C,,136.307,134.64,4.205,133.19,141.09,1.118
ACH1,YBL015W,,148.06,150.42,4.218,143.19,150.57,1.214
ACK1,YDL203C,,147.1,146.61,3.839,143.53,151.16,1.206
ACL4,YDR161W,,146.777,145,3.252,144.8,150.53,1.204
ACM1,YPL267W,,119.273,120.66,2.864,115.98,121.18,0.978
ACO1,YLR304C,,NA,NA,NA,NA,NA,NA
ACO2,YJL200C,,126.517,125.64,9.246,117.74,136.17,1.037
ACS1,YAL054C,,127.133,129.1,3.74,122.82,129.48,1.043
ADA2,YDR448W,,202.123,199.38,7.834,196.03,210.96,1.657
ADD37,YMR184W,,118.443,118.01,4.117,114.56,122.76,0.971
ADD66,YKL206C,,122.3,118.47,6.703,118.39,130.04,1.003
ADE1,YAR015W,,201.01,200.86,3.827,197.26,204.91,1.648
ADE16,YLR028C,,117.2,117.34,0.524,116.62,117.64,0.961
ADE17,YMR120C,,127.44,128.2,3.66,123.46,130.66,1.045
ADE2,YOR128C,,128.837,131.4,5.622,122.39,132.72,1.056
ADE3,YGR204W,,147.07,147.9,1.768,145.04,148.27,1.206
ADE4,YMR300C,,149.01,147.9,3.799,145.89,153.24,1.222
"ADE5,7",YGL234W,,224.977,227,8.997,215.14,232.79,1.845
ADE6,YGR061C,,113.02,110.54,10.561,103.92,124.6,0.927
ADE8,YDR408C,,185.35,184.37,2.433,183.56,188.12,1.52
ADH1,YOL086C,,119.577,119.08,1.508,118.38,121.27,0.981
