Environment	Gene.Standard	Gene.Systematic	Secondary.Mutation	Doubling.time.double.mutant	Doubling.time.single.mutant
Arsenite, 3mM	SSA1	YAL005C	Ask10	3.50820843872894	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	His3	3.13798342703758	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	His3	3.12465232247713	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	His3	3.60448034111571	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Ask10	3.97540260239739	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Fps1	2.73234657076919	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Fps1	2.91061021120984	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	His3	3.81857688836196	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Fps1	3.33495273858371	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Fps1	3.25026541240498	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	His3	3.4998863669432	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Ask10	3.67310221115294	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Ask10	3.39720069586818	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Ask10	3.47881815136624	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Ask10	3.66538273257013	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Fps1	2.74810585113463	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	His3	3.19855090256846	3.91608631413397
Arsenite, 3mM	SSA1	YAL005C	Fps1	3.54688996344364	3.91608631413397
Synthetic complete	SSA1	YAL005C	His3	1.84626187259258	1.96172077028944
Synthetic complete	SSA1	YAL005C	His3	1.77395123830176	1.96172077028944
Synthetic complete	SSA1	YAL005C	His3	2.01633366689059	1.96172077028944
Synthetic complete	SSA1	YAL005C	His3	2.06494481114589	1.96172077028944
Synthetic complete	SSA1	YAL005C	Ask10	2.13479483260292	1.96172077028944
Synthetic complete	SSA1	YAL005C	Fps1	2.52377213741633	1.96172077028944
Synthetic complete	SSA1	YAL005C	His3	2.06960379677605	1.96172077028944
Synthetic complete	SSA1	YAL005C	His3	1.78598686359491	1.96172077028944
Synthetic complete	SSA1	YAL005C	Fps1	3.6024490825863	1.96172077028944
Synthetic complete	SSA1	YAL005C	Fps1	NA	1.96172077028944
Synthetic complete	SSA1	YAL005C	Ask10	2.26987270038079	1.96172077028944
Synthetic complete	SSA1	YAL005C	Fps1	NA	1.96172077028944
Synthetic complete	SSA1	YAL005C	Ask10	2.10254581994237	1.96172077028944
Synthetic complete	SSA1	YAL005C	Fps1	NA	1.96172077028944
Synthetic complete	SSA1	YAL005C	Ask10	2.15953031174207	1.96172077028944
Synthetic complete	SSA1	YAL005C	Ask10	2.10324461852492	1.96172077028944
Synthetic complete	SSA1	YAL005C	Ask10	2.26297223565711	1.96172077028944
Synthetic complete	SSA1	YAL005C	Fps1	2.58582937964181	1.96172077028944
Arsenite, 3mM	ERP2	YAL007C	Ask10	3.71594887605381	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Ask10	3.55470125485222	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	His3	3.51915141513632	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Fps1	2.72647236726236	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Ask10	3.6168313893284	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Fps1	2.63630190388548	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	His3	4.19573763826255	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Fps1	3.09029206008913	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	His3	4.09363384986424	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Fps1	2.91537759847491	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Ask10	3.59257774628935	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Fps1	2.51786001410537	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Fps1	2.9991327016527	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	His3	4.29122382196547	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Ask10	3.67051070988017	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	His3	3.87404905489795	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	Ask10	3.69379266437469	3.98974964293709
Arsenite, 3mM	ERP2	YAL007C	His3	3.6910753274243	3.98974964293709
Synthetic complete	ERP2	YAL007C	Ask10	2.17485810015901	1.93313331264768
Synthetic complete	ERP2	YAL007C	Fps1	2.64520689338292	1.93313331264768
Synthetic complete	ERP2	YAL007C	His3	1.811820963334	1.93313331264768
Synthetic complete	ERP2	YAL007C	His3	1.80481623220636	1.93313331264768
Synthetic complete	ERP2	YAL007C	Ask10	2.25131276017236	1.93313331264768
Synthetic complete	ERP2	YAL007C	Ask10	2.10464117823596	1.93313331264768
Synthetic complete	ERP2	YAL007C	His3	1.86971196959972	1.93313331264768
Synthetic complete	ERP2	YAL007C	Fps1	2.45599030140347	1.93313331264768
Synthetic complete	ERP2	YAL007C	Ask10	2.30795786312711	1.93313331264768
Synthetic complete	ERP2	YAL007C	Fps1	3.39513571357049	1.93313331264768
Synthetic complete	ERP2	YAL007C	Fps1	3.61694186531704	1.93313331264768
Synthetic complete	ERP2	YAL007C	Fps1	3.21758468723037	1.93313331264768
Synthetic complete	ERP2	YAL007C	Fps1	2.53893079467825	1.93313331264768
Synthetic complete	ERP2	YAL007C	His3	2.16226534188444	1.93313331264768
Synthetic complete	ERP2	YAL007C	His3	2.14132403852136	1.93313331264768
Synthetic complete	ERP2	YAL007C	His3	2.08129933005181	1.93313331264768
Synthetic complete	ERP2	YAL007C	Ask10	2.24633067605935	1.93313331264768
Synthetic complete	ERP2	YAL007C	Ask10	2.27335365896588	1.93313331264768
Arsenite, 3mM	MDM10	YAL010C	Ask10	3.1030329488601	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Ask10	4.65430578679595	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Fps1	3.09436891791144	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Fps1	3.17253322146833	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	His3	4.30642253970107	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	His3	3.74624648705459	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Fps1	3.62908352425542	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Ask10	2.95013723936342	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Fps1	3.5848030645752	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Fps1	2.90697482755218	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	His3	3.6030688549859	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Ask10	4.74486996358612	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	His3	4.08873834488877	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Fps1	3.6045147291826	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Ask10	4.07079691874458	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	His3	3.79649390325918	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	Ask10	3.62549159664627	3.63942498381277
Arsenite, 3mM	MDM10	YAL010C	His3	4.18837628035261	3.63942498381277
Synthetic complete	MDM10	YAL010C	Ask10	2.47573024664357	2.38639524799009
Synthetic complete	MDM10	YAL010C	His3	2.50429467962964	2.38639524799009
Synthetic complete	MDM10	YAL010C	His3	2.64921665508794	2.38639524799009
Synthetic complete	MDM10	YAL010C	His3	2.42829086367609	2.38639524799009
Synthetic complete	MDM10	YAL010C	Fps1	3.14175936775951	2.38639524799009
Synthetic complete	MDM10	YAL010C	His3	2.31248737519236	2.38639524799009
Synthetic complete	MDM10	YAL010C	Fps1	3.04834582766251	2.38639524799009
Synthetic complete	MDM10	YAL010C	Fps1	3.07803512458123	2.38639524799009
Synthetic complete	MDM10	YAL010C	His3	2.24705539934752	2.38639524799009
Synthetic complete	MDM10	YAL010C	Ask10	2.49638431932694	2.38639524799009
Synthetic complete	MDM10	YAL010C	Ask10	2.30793532540618	2.38639524799009
Synthetic complete	MDM10	YAL010C	Fps1	3.0661839097189	2.38639524799009
Synthetic complete	MDM10	YAL010C	His3	2.44898080489887	2.38639524799009
Synthetic complete	MDM10	YAL010C	Ask10	2.62719408680369	2.38639524799009
Synthetic complete	MDM10	YAL010C	Ask10	2.73557215490079	2.38639524799009
Synthetic complete	MDM10	YAL010C	Fps1	2.94092060421621	2.38639524799009
Synthetic complete	MDM10	YAL010C	Ask10	2.27174486920073	2.38639524799009
Synthetic complete	MDM10	YAL010C	Fps1	3.15661419500215	2.38639524799009
Arsenite, 3mM	LDS1	YAL018C	His3	6.04662463733598	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	2.51329707567535	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	3.4430961969253	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	2.7465469578672	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	7.41253265026848	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	His3	3.67765416926921	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	2.56690201907082	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	4.77570659739888	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	3.81427489328152	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	3.97493533307132	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	His3	4.30722532239792	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	3.65583598243614	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	3.74649177703118	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	4.19360804322965	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	6.09241686679212	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	His3	5.14562306578267	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	His3	8.09743065806855	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Fps1	2.84132700893069	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	3.52285322696131	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	4.17349974985646	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	Ask10	3.75741793221892	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	His3	3.64900101464198	3.77820970815204
Arsenite, 3mM	LDS1	YAL018C	His3	4.00787941453295	3.77820970815204
