gene_standard,gene_systematic,doubling_time,rel_doubling_time,ctl_dt,media,source
VPS8,YAL002W,130.88,1.073,121.95,SC,Persson_2022
VPS8,YAL002W,143.04,1.173,121.95,SC,Persson_2022
VPS8,YAL002W,140.06,1.149,121.95,SC,Persson_2022
YAL004W,YAL004W,152.31,1.249,121.95,SC,Persson_2022
YAL004W,YAL004W,147.44,1.209,121.95,SC,Persson_2022
YAL004W,YAL004W,147.83,1.212,121.95,SC,Persson_2022
SSA1,YAL005C,147.8,1.212,121.95,SC,Persson_2022
SSA1,YAL005C,143.27,1.175,121.95,SC,Persson_2022
SSA1,YAL005C,164.13,1.346,121.95,SC,Persson_2022
ERP2,YAL007C,151.23,1.24,121.95,SC,Persson_2022
ERP2,YAL007C,148.17,1.215,121.95,SC,Persson_2022
ERP2,YAL007C,156.11,1.28,121.95,SC,Persson_2022
FUN14,YAL008W,153.64,1.26,121.95,SC,Persson_2022
FUN14,YAL008W,163.8,1.343,121.95,SC,Persson_2022
FUN14,YAL008W,151,1.238,121.95,SC,Persson_2022
SPO7,YAL009W,119.56,0.98,121.95,SC,Persson_2022
SPO7,YAL009W,132.28,1.085,121.95,SC,Persson_2022
SPO7,YAL009W,133.13,1.092,121.95,SC,Persson_2022
MDM10,YAL010C,188.77,1.548,121.95,SC,Persson_2022
MDM10,YAL010C,192.07,1.575,121.95,SC,Persson_2022
MDM10,YAL010C,191.58,1.571,121.95,SC,Persson_2022
SWC3,YAL011W,175.95,1.443,121.95,SC,Persson_2022
SWC3,YAL011W,164.52,1.349,121.95,SC,Persson_2022
SWC3,YAL011W,164.36,1.348,121.95,SC,Persson_2022
CYS3,YAL012W,397.02,3.256,121.95,SC,Persson_2022
CYS3,YAL012W,293.24,2.405,121.95,SC,Persson_2022
CYS3,YAL012W,326.45,2.677,121.95,SC,Persson_2022
DEP1,YAL013W,171.74,1.408,121.95,SC,Persson_2022
DEP1,YAL013W,167.82,1.376,121.95,SC,Persson_2022
DEP1,YAL013W,162.53,1.333,121.95,SC,Persson_2022
SYN8,YAL014C,156.3,1.282,121.95,SC,Persson_2022
SYN8,YAL014C,161.55,1.325,121.95,SC,Persson_2022
SYN8,YAL014C,158.9,1.303,121.95,SC,Persson_2022
NTG1,YAL015C,136.17,1.117,121.95,SC,Persson_2022
NTG1,YAL015C,142.15,1.166,121.95,SC,Persson_2022
NTG1,YAL015C,139.48,1.144,121.95,SC,Persson_2022
TPD3,YAL016W,NA,NA,121.95,SC,Persson_2022
TPD3,YAL016W,NA,NA,121.95,SC,Persson_2022
TPD3,YAL016W,NA,NA,121.95,SC,Persson_2022
PSK1,YAL017W,136.91,1.123,121.95,SC,Persson_2022
PSK1,YAL017W,138.58,1.136,121.95,SC,Persson_2022
PSK1,YAL017W,135.83,1.114,121.95,SC,Persson_2022
LDS1,YAL018C,135.67,1.113,121.95,SC,Persson_2022
LDS1,YAL018C,122.11,1.001,121.95,SC,Persson_2022
LDS1,YAL018C,124.73,1.023,121.95,SC,Persson_2022
FUN30,YAL019W,125.67,1.031,121.95,SC,Persson_2022
FUN30,YAL019W,137.02,1.124,121.95,SC,Persson_2022
FUN30,YAL019W,159.74,1.31,121.95,SC,Persson_2022
ATS1,YAL020C,168.59,1.382,121.95,SC,Persson_2022
ATS1,YAL020C,170.77,1.4,121.95,SC,Persson_2022
ATS1,YAL020C,194.35,1.594,121.95,SC,Persson_2022
CCR4,YAL021C,126.16,1.035,121.95,SC,Persson_2022
CCR4,YAL021C,132.14,1.084,121.95,SC,Persson_2022
CCR4,YAL021C,113.16,0.928,121.95,SC,Persson_2022
FUN26,YAL022C,169.74,1.392,121.95,SC,Persson_2022
FUN26,YAL022C,185.81,1.524,121.95,SC,Persson_2022
FUN26,YAL022C,181.42,1.488,121.95,SC,Persson_2022
PMT2,YAL023C,174.08,1.427,121.95,SC,Persson_2022
PMT2,YAL023C,183.66,1.506,121.95,SC,Persson_2022
PMT2,YAL023C,175.53,1.439,121.95,SC,Persson_2022
LTE1,YAL024C,107.77,0.884,121.95,SC,Persson_2022
LTE1,YAL024C,107.05,0.878,121.95,SC,Persson_2022
LTE1,YAL024C,111.21,0.912,121.95,SC,Persson_2022
DRS2,YAL026C,191.24,1.568,121.95,SC,Persson_2022
DRS2,YAL026C,181.66,1.49,121.95,SC,Persson_2022
DRS2,YAL026C,194.83,1.598,121.95,SC,Persson_2022
SAW1,YAL027W,163.58,1.341,121.95,SC,Persson_2022
SAW1,YAL027W,166.28,1.364,121.95,SC,Persson_2022
SAW1,YAL027W,174.28,1.429,121.95,SC,Persson_2022
FRT2,YAL028W,162.46,1.332,121.95,SC,Persson_2022
FRT2,YAL028W,158.97,1.304,121.95,SC,Persson_2022
FRT2,YAL028W,163.22,1.338,121.95,SC,Persson_2022
MYO4,YAL029C,157.39,1.291,121.95,SC,Persson_2022
MYO4,YAL029C,155.41,1.274,121.95,SC,Persson_2022
MYO4,YAL029C,160.39,1.315,121.95,SC,Persson_2022
SNC1,YAL030W,147.59,1.21,121.95,SC,Persson_2022
SNC1,YAL030W,150.18,1.231,121.95,SC,Persson_2022
SNC1,YAL030W,149.49,1.226,121.95,SC,Persson_2022
GIP4,YAL031C,136.69,1.121,121.95,SC,Persson_2022
GIP4,YAL031C,140.79,1.154,121.95,SC,Persson_2022
GIP4,YAL031C,138.15,1.133,121.95,SC,Persson_2022
FUN19,YAL034C,137.08,1.124,121.95,SC,Persson_2022
FUN19,YAL034C,173.09,1.419,121.95,SC,Persson_2022
FUN19,YAL034C,150.65,1.235,121.95,SC,Persson_2022
FUN12,YAL035W,241.58,1.981,121.95,SC,Persson_2022
FUN12,YAL035W,239.95,1.968,121.95,SC,Persson_2022
FUN12,YAL035W,228.64,1.875,121.95,SC,Persson_2022
RBG1,YAL036C,216.54,1.776,121.95,SC,Persson_2022
RBG1,YAL036C,187.47,1.537,121.95,SC,Persson_2022
RBG1,YAL036C,223.75,1.835,121.95,SC,Persson_2022
YAL037W,YAL037W,168.02,1.378,121.95,SC,Persson_2022
YAL037W,YAL037W,172.77,1.417,121.95,SC,Persson_2022
YAL037W,YAL037W,162.76,1.335,121.95,SC,Persson_2022
CYC3,YAL039C,131.91,1.082,121.95,SC,Persson_2022
CYC3,YAL039C,128.73,1.056,121.95,SC,Persson_2022
CYC3,YAL039C,121.14,0.993,121.95,SC,Persson_2022
CLN3,YAL040C,163.93,1.344,121.95,SC,Persson_2022
CLN3,YAL040C,162.04,1.329,121.95,SC,Persson_2022
CLN3,YAL040C,168.7,1.383,121.95,SC,Persson_2022
ERV46,YAL042W,156.32,1.282,121.95,SC,Persson_2022
ERV46,YAL042W,156.36,1.282,121.95,SC,Persson_2022
ERV46,YAL042W,166.04,1.362,121.95,SC,Persson_2022
YAL043C-A,YAL043C-A,153.81,1.261,121.95,SC,Persson_2022
YAL043C-A,YAL043C-A,158.03,1.296,121.95,SC,Persson_2022
YAL043C-A,YAL043C-A,155.88,1.278,121.95,SC,Persson_2022
